Id,Date,Rented_Bike_Count,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
32,02/12/2017,5.393627546352362,8,-4.2,79,2.1,1436,-7.3,0.01,0.0,0.0,Winter,No Holiday,Yes
33,02/12/2017,5.796057750765372,9,-2.9,68,1.6,1487,-7.9,0.3,0.0,0.0,Winter,No Holiday,Yes
34,02/12/2017,5.814130531825066,10,-0.4,57,1.6,1309,-7.8,0.8,0.0,0.0,Winter,No Holiday,Yes
35,02/12/2017,5.963579343618446,11,1.9,49,1.8,1406,-7.7,1.0,0.0,0.0,Winter,No Holiday,Yes
36,02/12/2017,6.173786103901937,12,4.3,41,1.3,1666,-7.8,1.09,0.0,0.0,Winter,No Holiday,Yes
37,02/12/2017,6.408528791059498,13,6.0,36,1.8,1780,-7.9,1.12,0.0,0.0,Winter,No Holiday,Yes
38,02/12/2017,6.416732282512326,14,7.3,35,1.3,1955,-7.1,0.99,0.0,0.0,Winter,No Holiday,Yes
39,02/12/2017,6.380122536899765,15,7.6,41,2.3,1953,-4.8,0.74,0.0,0.0,Winter,No Holiday,Yes
40,02/12/2017,6.428105272684596,16,6.4,48,2.6,1945,-3.8,0.22,0.0,0.0,Winter,No Holiday,Yes
41,02/12/2017,6.35088571671474,17,6.0,51,2.5,1891,-3.3,0.06,0.0,0.0,Winter,No Holiday,Yes
42,02/12/2017,6.194405391104672,18,5.5,53,1.5,1697,-3.3,0.0,0.0,0.0,Winter,No Holiday,Yes
43,02/12/2017,5.955837369464831,19,5.0,52,2.3,1666,-4.0,0.0,0.0,0.0,Winter,No Holiday,Yes
44,02/12/2017,5.886104031450156,20,4.6,51,1.2,1585,-4.6,0.0,0.0,0.0,Winter,No Holiday,Yes
45,02/12/2017,5.934894195619588,21,4.1,55,1.2,1448,-4.1,0.0,0.0,0.0,Winter,No Holiday,Yes
46,02/12/2017,5.872117789475416,22,3.5,54,1.5,1446,-4.9,0.0,0.0,0.0,Winter,No Holiday,Yes
47,02/12/2017,5.905361848054571,23,4.0,56,1.0,1352,-4.0,0.0,0.0,0.0,Winter,No Holiday,Yes
48,03/12/2017,5.8377304471659395,0,4.0,58,1.4,1296,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes
49,03/12/2017,5.429345628954441,1,3.9,69,1.7,485,-1.2,0.0,0.0,0.0,Winter,No Holiday,Yes
50,03/12/2017,5.43372200355424,2,3.3,79,1.4,830,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes
51,03/12/2017,4.770684624465665,3,3.4,71,1.6,1011,-1.3,0.0,0.5,0.0,Winter,No Holiday,Yes
52,03/12/2017,4.343805421853684,4,3.5,73,1.0,1060,-0.8,0.0,0.0,0.0,Winter,No Holiday,Yes
53,03/12/2017,3.4965075614664802,5,3.9,75,1.9,914,-0.1,0.0,0.0,0.0,Winter,No Holiday,Yes
54,03/12/2017,2.6390573296152584,6,3.4,86,2.5,278,1.2,0.0,1.0,0.0,Winter,No Holiday,Yes
55,03/12/2017,3.1354942159291497,7,3.1,91,1.2,129,1.7,0.0,0.0,0.0,Winter,No Holiday,Yes
56,03/12/2017,4.454347296253507,8,3.2,92,1.8,244,2.0,0.0,0.0,0.0,Winter,No Holiday,Yes
57,03/12/2017,5.030437921392435,9,3.5,91,1.8,231,2.1,0.02,2.5,0.0,Winter,No Holiday,Yes
58,03/12/2017,5.303304908059076,10,4.4,89,2.2,257,2.7,0.24,0.0,0.0,Winter,No Holiday,Yes
59,03/12/2017,5.6131281063880705,11,5.1,87,1.4,321,3.1,0.25,0.0,0.0,Winter,No Holiday,Yes
60,03/12/2017,5.811140992976701,12,5.8,85,1.7,349,3.4,0.43,0.0,0.0,Winter,No Holiday,Yes
61,03/12/2017,6.206575926724928,13,6.8,81,1.9,390,3.7,0.6,0.0,0.0,Winter,No Holiday,Yes
62,03/12/2017,6.335054251498059,14,7.6,76,1.2,422,3.6,0.69,0.0,0.0,Winter,No Holiday,Yes
63,03/12/2017,6.432940092739179,15,8.0,73,1.6,433,3.4,0.53,0.0,0.0,Winter,No Holiday,Yes
64,03/12/2017,6.395261598115449,16,7.6,77,1.6,399,3.8,0.2,0.0,0.0,Winter,No Holiday,Yes
65,03/12/2017,6.302618975744905,17,6.7,82,1.5,358,3.8,0.05,0.0,0.0,Winter,No Holiday,Yes
66,03/12/2017,6.095824562432225,18,6.0,84,1.9,327,3.4,0.0,0.0,0.0,Winter,No Holiday,Yes
67,03/12/2017,6.0473721790462776,19,5.7,85,1.7,309,3.3,0.0,0.0,0.0,Winter,No Holiday,Yes
68,03/12/2017,5.986452005284438,20,5.2,87,1.4,253,3.2,0.0,0.0,0.0,Winter,No Holiday,Yes
69,03/12/2017,5.955837369464831,21,4.7,87,1.2,247,2.7,0.0,0.0,0.0,Winter,No Holiday,Yes
70,03/12/2017,5.860786223465865,22,4.3,89,1.8,201,2.6,0.0,0.0,0.0,Winter,No Holiday,Yes
71,03/12/2017,5.717027701406222,23,3.9,90,1.3,194,2.4,0.0,0.0,0.0,Winter,No Holiday,Yes
72,04/12/2017,5.655991810819852,0,4.2,88,0.6,216,2.3,0.0,0.0,0.0,Winter,No Holiday,Yes
73,04/12/2017,5.231108616854587,1,4.3,87,0.5,221,2.3,0.0,0.0,0.0,Winter,No Holiday,Yes
74,04/12/2017,4.727387818712341,2,4.4,87,1.8,207,2.4,0.0,0.0,0.0,Winter,No Holiday,Yes
75,04/12/2017,4.189654742026425,3,3.6,85,2.3,206,1.3,0.0,0.0,0.0,Winter,No Holiday,Yes
76,04/12/2017,3.7376696182833684,4,2.8,89,1.5,130,1.1,0.0,0.0,0.0,Winter,No Holiday,Yes
77,04/12/2017,4.418840607796598,5,2.0,83,2.7,253,-0.5,0.0,0.0,0.0,Winter,No Holiday,Yes
78,04/12/2017,5.303304908059076,6,1.2,76,3.7,371,-2.5,0.0,0.1,0.0,Winter,No Holiday,Yes
79,04/12/2017,6.212606095751519,7,0.2,68,3.4,702,-5.0,0.0,0.0,0.0,Winter,No Holiday,Yes
80,04/12/2017,6.843749949006225,8,-0.8,69,3.5,954,-5.7,0.01,0.0,0.0,Winter,No Holiday,Yes
81,04/12/2017,6.234410725718371,9,-1.5,47,4.2,1888,-11.3,0.22,0.0,0.0,Winter,No Holiday,Yes
82,04/12/2017,5.7430031878094825,10,-1.1,40,4.5,2000,-13.0,0.64,0.0,0.0,Winter,No Holiday,Yes
83,04/12/2017,5.940171252720432,11,-0.5,41,4.1,1799,-12.1,0.94,0.0,0.0,Winter,No Holiday,Yes
84,04/12/2017,5.976350909297934,12,-0.3,38,4.8,1823,-12.9,1.11,0.0,0.0,Winter,No Holiday,Yes
85,04/12/2017,5.971261839790462,13,0.0,30,5.4,1938,-15.5,1.17,0.0,0.0,Winter,No Holiday,Yes
86,04/12/2017,5.82600010738045,14,0.1,27,4.5,2000,-16.7,1.09,0.0,0.0,Winter,No Holiday,Yes
87,04/12/2017,5.834810737062605,15,-0.1,25,5.8,2000,-17.8,0.88,0.0,0.0,Winter,No Holiday,Yes
88,04/12/2017,5.929589143389895,16,-0.2,23,4.7,2000,-18.8,0.55,0.0,0.0,Winter,No Holiday,Yes
89,04/12/2017,6.246106765481563,17,-1.3,26,5.3,2000,-18.3,0.18,0.0,0.0,Winter,No Holiday,Yes
90,04/12/2017,6.694562058521095,18,-2.1,29,3.9,2000,-17.7,0.0,0.0,0.0,Winter,No Holiday,Yes
91,04/12/2017,6.343880434126331,19,-2.9,32,3.2,2000,-17.3,0.0,0.0,0.0,Winter,No Holiday,Yes
92,04/12/2017,5.988961416889864,20,-3.6,38,3.0,2000,-15.8,0.0,0.0,0.0,Winter,No Holiday,Yes
93,04/12/2017,5.986452005284438,21,-4.6,43,4.5,2000,-15.3,0.0,0.0,0.0,Winter,No Holiday,Yes
94,04/12/2017,5.869296913133774,22,-5.3,45,2.5,2000,-15.3,0.0,0.0,0.0,Winter,No Holiday,Yes
95,04/12/2017,5.517452896464707,23,-5.8,44,2.4,2000,-16.1,0.0,0.0,0.0,Winter,No Holiday,Yes
96,05/12/2017,5.37989735354046,0,-6.1,42,2.6,2000,-16.9,0.0,0.0,0.0,Winter,No Holiday,Yes
97,05/12/2017,5.293304824724492,1,-6.5,41,2.8,2000,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes
98,05/12/2017,4.8283137373023015,2,-6.8,41,2.5,2000,-17.8,0.0,0.0,0.0,Winter,No Holiday,Yes
99,05/12/2017,4.143134726391533,3,-6.9,39,2.0,2000,-18.5,0.0,0.0,0.0,Winter,No Holiday,Yes
100,05/12/2017,3.7612001156935624,4,-7.2,34,3.0,2000,-20.4,0.0,0.0,0.0,Winter,No Holiday,Yes
101,05/12/2017,4.418840607796598,5,-7.4,33,2.6,2000,-20.9,0.0,0.0,0.0,Winter,No Holiday,Yes
102,05/12/2017,5.153291594497779,6,-7.4,34,3.2,2000,-20.6,0.0,0.0,0.0,Winter,No Holiday,Yes
103,05/12/2017,5.945420608606575,7,-7.5,33,2.2,2000,-21.0,0.0,0.0,0.0,Winter,No Holiday,Yes
104,05/12/2017,6.70073110954781,8,-8.1,36,1.6,2000,-20.5,0.01,0.0,0.0,Winter,No Holiday,Yes
105,05/12/2017,6.137727054086234,9,-7.6,31,1.3,1974,-21.8,0.21,0.0,0.0,Winter,No Holiday,Yes
106,05/12/2017,5.598421958998375,10,-5.5,26,2.8,1967,-22.0,0.64,0.0,0.0,Winter,No Holiday,Yes
107,05/12/2017,5.814130531825066,11,-3.9,25,0.0,1959,-21.0,0.0,0.0,0.0,Winter,No Holiday,Yes
108,05/12/2017,5.7745515455444085,12,-2.3,25,0.0,1962,-19.7,0.0,0.0,0.0,Winter,No Holiday,Yes
109,05/12/2017,5.786897381366708,13,-1.6,27,0.0,1955,-18.2,0.0,0.0,0.0,Winter,No Holiday,Yes
110,05/12/2017,5.814130531825066,14,-1.1,28,0.0,2000,-17.3,0.0,0.0,0.0,Winter,No Holiday,Yes
111,05/12/2017,5.869296913133774,15,-0.7,28,0.0,2000,-16.9,0.0,0.0,0.0,Winter,No Holiday,Yes
112,05/12/2017,6.077642243349034,16,-0.5,30,0.0,2000,-16.0,0.0,0.0,0.0,Winter,No Holiday,Yes
113,05/12/2017,6.272877006546167,17,-1.6,35,0.0,2000,-15.1,0.0,0.0,0.0,Winter,No Holiday,Yes
114,05/12/2017,6.672032945461067,18,-2.6,40,0.0,2000,-14.4,0.0,0.0,0.0,Winter,No Holiday,Yes
115,05/12/2017,6.393590753950631,19,-3.2,45,0.0,2000,-13.5,0.0,0.0,0.0,Winter,No Holiday,Yes
116,05/12/2017,6.037870919922137,20,-3.5,46,0.0,2000,-13.4,0.0,0.0,0.0,Winter,No Holiday,Yes
117,05/12/2017,6.030685260261263,21,-3.7,47,0.0,2000,-13.3,0.0,0.0,0.0,Winter,No Holiday,Yes
118,05/12/2017,5.976350909297934,22,-2.8,49,0.0,2000,-12.0,0.0,0.0,0.0,Winter,No Holiday,Yes
119,05/12/2017,5.501258210544727,23,-2.5,59,0.0,1210,-9.4,0.0,0.0,0.0,Winter,No Holiday,Yes
120,06/12/2017,4.983606621708336,0,-2.8,77,0.0,331,-6.2,0.0,0.1,0.1,Winter,No Holiday,Yes
121,06/12/2017,4.976733742420574,1,-3.0,79,0.0,293,-6.1,0.0,0.0,0.3,Winter,No Holiday,Yes
122,06/12/2017,4.770684624465665,2,-3.0,79,0.0,1862,-6.1,0.0,0.0,0.4,Winter,No Holiday,Yes
123,06/12/2017,4.3694478524670215,3,-3.2,78,0.0,1808,-6.4,0.0,0.2,0.4,Winter,No Holiday,Yes
124,06/12/2017,4.07753744390572,4,-3.4,75,0.0,1982,-7.2,0.0,0.0,0.4,Winter,No Holiday,Yes
125,06/12/2017,4.477336814478207,5,-3.6,76,0.0,1934,-7.2,0.0,0.0,0.4,Winter,No Holiday,Yes
126,06/12/2017,4.962844630259907,6,-3.7,76,0.0,1864,-7.3,0.0,0.0,0.4,Winter,No Holiday,Yes
127,06/12/2017,5.940171252720432,7,-4.2,77,0.0,1741,-7.6,0.0,0.0,0.3,Winter,No Holiday,Yes
128,06/12/2017,6.688354713946762,8,-4.2,78,0.0,1518,-7.4,0.01,0.0,0.2,Winter,No Holiday,Yes
129,06/12/2017,6.089044875446846,9,-3.3,70,0.0,1324,-7.9,0.25,0.0,0.2,Winter,No Holiday,Yes
130,06/12/2017,5.730099782973574,10,-0.9,64,0.0,1224,-6.8,0.63,0.0,0.2,Winter,No Holiday,Yes
131,06/12/2017,5.945420608606575,11,1.6,57,1.2,1261,-6.0,0.93,0.0,0.0,Winter,No Holiday,Yes
132,06/12/2017,6.0063531596017325,12,2.4,52,0.9,1224,-6.4,1.08,0.0,0.0,Winter,No Holiday,Yes
133,06/12/2017,6.093569770045136,13,4.2,47,1.1,1469,-6.1,1.1,0.0,0.0,Winter,No Holiday,Yes
134,06/12/2017,6.0330862217988015,14,5.5,34,1.0,1966,-9.1,0.96,0.0,0.0,Winter,No Holiday,Yes
135,06/12/2017,6.023447592961033,15,5.5,31,3.1,1968,-10.3,0.72,0.0,0.0,Winter,No Holiday,Yes
136,06/12/2017,6.208590026096629,16,5.3,37,2.9,2000,-8.2,0.36,0.0,0.0,Winter,No Holiday,Yes
137,06/12/2017,5.480638923341991,17,4.1,60,2.5,1565,-2.9,0.1,0.0,0.0,Winter,No Holiday,Yes
138,06/12/2017,5.3230099791384085,18,1.7,90,1.0,66,0.2,0.0,0.3,0.3,Winter,No Holiday,Yes
139,06/12/2017,5.327876168789581,19,1.2,92,0.7,180,0.0,0.0,0.0,1.0,Winter,No Holiday,Yes
140,06/12/2017,5.25227342804663,20,1.2,94,0.6,228,0.3,0.0,0.0,1.0,Winter,No Holiday,Yes
141,06/12/2017,5.111987788356544,21,1.1,92,0.5,235,0.0,0.0,0.7,1.0,Winter,No Holiday,Yes
142,06/12/2017,5.407171771460119,22,1.3,92,0.6,233,0.1,0.0,0.0,1.0,Winter,No Holiday,Yes
143,06/12/2017,5.267858159063328,23,1.3,92,0.6,209,0.1,0.0,0.0,1.0,Winter,No Holiday,Yes
144,07/12/2017,5.293304824724492,0,1.4,92,0.5,240,0.2,0.0,0.0,0.9,Winter,No Holiday,Yes
145,07/12/2017,5.389071729816501,1,1.5,92,0.4,227,0.3,0.0,0.0,0.9,Winter,No Holiday,Yes
146,07/12/2017,5.0106352940962555,2,1.4,92,0.7,168,0.2,0.0,0.0,0.9,Winter,No Holiday,Yes
147,07/12/2017,4.634728988229636,3,1.9,91,1.4,218,0.5,0.0,0.0,0.9,Winter,No Holiday,Yes
148,07/12/2017,4.143134726391533,4,1.6,92,0.7,119,0.4,0.0,0.0,0.9,Winter,No Holiday,Yes
149,07/12/2017,4.430816798843313,5,1.5,92,1.1,175,0.3,0.0,0.0,0.9,Winter,No Holiday,Yes
150,07/12/2017,4.927253685157205,6,1.0,93,0.5,148,0.0,0.0,0.0,0.9,Winter,No Holiday,Yes
151,07/12/2017,5.908082938168931,7,0.3,93,0.5,173,-0.7,0.0,0.0,0.9,Winter,No Holiday,Yes
152,07/12/2017,6.626717749249025,8,-0.2,96,0.8,173,-0.7,0.01,0.0,0.8,Winter,No Holiday,Yes
153,07/12/2017,6.030685260261263,9,0.1,91,0.8,265,-1.1,0.14,0.0,0.8,Winter,No Holiday,Yes
154,07/12/2017,5.7745515455444085,10,1.1,83,0.7,311,-1.4,0.41,0.0,0.7,Winter,No Holiday,Yes
155,07/12/2017,5.811140992976701,11,2.3,69,1.7,628,-2.8,0.63,0.0,0.6,Winter,No Holiday,Yes
156,07/12/2017,6.068425588244111,12,3.7,65,2.4,833,-2.2,0.98,0.0,0.3,Winter,No Holiday,Yes
157,07/12/2017,5.978885764901122,13,4.1,37,3.1,1767,-9.3,1.14,0.0,0.0,Winter,No Holiday,Yes
158,07/12/2017,5.968707559985366,14,4.4,36,2.7,1975,-9.4,1.04,0.0,0.0,Winter,No Holiday,Yes
159,07/12/2017,6.066108090103747,15,4.0,35,3.1,1962,-10.1,0.84,0.0,0.0,Winter,No Holiday,Yes
160,07/12/2017,6.156978985585555,16,3.2,38,2.9,1817,-9.7,0.51,0.0,0.0,Winter,No Holiday,Yes
161,07/12/2017,6.315358001522335,17,2.1,50,2.0,1434,-7.2,0.15,0.0,0.0,Winter,No Holiday,Yes
162,07/12/2017,6.679599185844383,18,0.7,46,2.7,1558,-9.6,0.0,0.0,0.0,Winter,No Holiday,Yes
163,07/12/2017,6.230481447578482,19,-0.4,47,2.5,1269,-10.3,0.0,0.0,0.0,Winter,No Holiday,Yes
164,07/12/2017,5.968707559985366,20,-1.4,47,2.5,1620,-11.2,0.0,0.0,0.0,Winter,No Holiday,Yes
165,07/12/2017,5.998936561946683,21,-2.2,46,2.2,1975,-12.2,0.0,0.0,0.0,Winter,No Holiday,Yes
166,07/12/2017,5.966146739123692,22,-2.7,48,2.6,1844,-12.2,0.0,0.0,0.0,Winter,No Holiday,Yes
167,07/12/2017,5.560681631015528,23,-3.2,50,2.1,1887,-12.1,0.0,0.0,0.0,Winter,No Holiday,Yes
168,08/12/2017,5.455321115357702,0,-3.5,49,2.6,1893,-12.6,0.0,0.0,0.0,Winter,No Holiday,Yes
169,08/12/2017,5.442417710521793,1,-3.7,50,2.5,1902,-12.6,0.0,0.0,0.0,Winter,No Holiday,Yes
170,08/12/2017,4.882801922586371,2,-4.3,53,1.0,1918,-12.4,0.0,0.0,0.0,Winter,No Holiday,Yes
171,08/12/2017,4.605170185988092,3,-4.8,52,1.6,1978,-13.1,0.0,0.0,0.0,Winter,No Holiday,Yes
172,08/12/2017,4.276666119016055,4,-5.3,53,2.4,1936,-13.4,0.0,0.0,0.0,Winter,No Holiday,Yes
173,08/12/2017,4.442651256490317,5,-5.8,56,2.0,1941,-13.1,0.0,0.0,0.0,Winter,No Holiday,Yes
174,08/12/2017,5.0689042022202315,6,-6.0,56,3.5,1853,-13.3,0.0,0.0,0.0,Winter,No Holiday,Yes
175,08/12/2017,5.961005339623274,7,-6.5,57,0.8,1776,-13.6,0.0,0.0,0.0,Winter,No Holiday,Yes
176,08/12/2017,6.660575149839686,8,-7.0,59,0.8,1559,-13.6,0.01,0.0,0.0,Winter,No Holiday,Yes
177,08/12/2017,5.981414211254481,9,-6.7,50,0.9,1492,-15.4,0.23,0.0,0.0,Winter,No Holiday,Yes
178,08/12/2017,5.568344503761097,10,-5.3,44,2.8,1516,-15.6,0.63,0.0,0.0,Winter,No Holiday,Yes
179,08/12/2017,5.739792912179234,11,-3.7,39,1.4,1595,-15.6,0.93,0.0,0.0,Winter,No Holiday,Yes
180,08/12/2017,5.87493073085203,12,-2.0,30,1.4,1728,-17.3,1.14,0.0,0.0,Winter,No Holiday,Yes
181,08/12/2017,5.872117789475416,13,-1.7,28,1.8,1963,-17.8,1.22,0.0,0.0,Winter,No Holiday,Yes
182,08/12/2017,5.860786223465865,14,-1.3,27,3.1,1906,-17.9,1.12,0.0,0.0,Winter,No Holiday,Yes
183,08/12/2017,5.8944028342648505,15,-0.8,26,3.3,1977,-17.9,0.87,0.0,0.0,Winter,No Holiday,Yes
184,08/12/2017,5.996452088619021,16,-1.1,24,3.4,2000,-19.1,0.56,0.0,0.0,Winter,No Holiday,Yes
185,08/12/2017,6.2166061010848646,17,-2.4,30,2.7,2000,-17.6,0.18,0.0,0.0,Winter,No Holiday,Yes
186,08/12/2017,6.6240652277998935,18,-3.1,33,1.2,2000,-17.1,0.0,0.0,0.0,Winter,No Holiday,Yes
187,08/12/2017,6.169610732491456,19,-3.3,35,1.1,2000,-16.6,0.0,0.0,0.0,Winter,No Holiday,Yes
188,08/12/2017,5.953243334287785,20,-3.3,34,1.5,2000,-16.9,0.0,0.0,0.0,Winter,No Holiday,Yes
189,08/12/2017,5.820082930352362,21,-3.3,35,0.5,2000,-16.6,0.0,0.0,0.0,Winter,No Holiday,Yes
190,08/12/2017,5.8522024797744745,22,-3.4,39,1.2,2000,-15.4,0.0,0.0,0.0,Winter,No Holiday,Yes
191,08/12/2017,5.62040086571715,23,-3.5,43,0.9,2000,-14.3,0.0,0.0,0.0,Winter,No Holiday,Yes
192,09/12/2017,5.5909869805108565,0,-3.5,48,0.9,1967,-12.9,0.0,0.0,0.0,Winter,No Holiday,Yes
193,09/12/2017,5.6937321388027,1,-4.1,49,0.6,2000,-13.2,0.0,0.0,0.0,Winter,No Holiday,Yes
194,09/12/2017,5.472270673671475,2,-4.7,50,0.7,1983,-13.5,0.0,0.0,0.0,Winter,No Holiday,Yes
195,09/12/2017,5.135798437050262,3,-4.3,47,0.6,1992,-13.9,0.0,0.0,0.0,Winter,No Holiday,Yes
196,09/12/2017,4.574710978503383,4,-4.3,49,0.7,2000,-13.4,0.0,0.0,0.0,Winter,No Holiday,Yes
197,09/12/2017,4.04305126783455,5,-4.7,49,0.8,1999,-13.8,0.0,0.0,0.0,Winter,No Holiday,Yes
198,09/12/2017,4.343805421853684,6,-5.1,53,0.9,1975,-13.2,0.0,0.0,0.0,Winter,No Holiday,Yes
199,09/12/2017,4.852030263919617,7,-5.5,56,0.8,1950,-12.9,0.0,0.0,0.0,Winter,No Holiday,Yes
200,09/12/2017,5.407171771460119,8,-5.4,56,0.7,1940,-12.8,0.01,0.0,0.0,Winter,No Holiday,Yes
201,09/12/2017,5.676753802268282,9,-4.7,48,1.0,1784,-14.0,0.23,0.0,0.0,Winter,No Holiday,Yes
202,09/12/2017,5.6131281063880705,10,-2.2,42,1.3,1646,-13.4,0.61,0.0,0.0,Winter,No Holiday,Yes
203,09/12/2017,5.863631175598097,11,0.0,45,1.1,1500,-10.5,0.89,0.0,0.0,Winter,No Holiday,Yes
204,09/12/2017,6.059123195581797,12,2.4,40,0.8,1809,-9.8,1.05,0.0,0.0,Winter,No Holiday,Yes
205,09/12/2017,6.068425588244111,13,3.9,36,2.0,1702,-9.8,1.13,0.0,0.0,Winter,No Holiday,Yes
206,09/12/2017,6.18826412308259,14,4.7,32,2.2,1948,-10.6,1.06,0.0,0.0,Winter,No Holiday,Yes
207,09/12/2017,6.345636360828596,15,5.2,30,2.0,1963,-11.0,0.84,0.0,0.0,Winter,No Holiday,Yes
208,09/12/2017,6.304448802421981,16,4.4,33,1.6,1963,-10.5,0.4,0.0,0.0,Winter,No Holiday,Yes
209,09/12/2017,6.1779441140506,17,3.5,37,1.8,1963,-9.8,0.1,0.0,0.0,Winter,No Holiday,Yes
210,09/12/2017,5.953243334287785,18,2.5,41,1.0,1974,-9.4,0.0,0.0,0.0,Winter,No Holiday,Yes
211,09/12/2017,5.62040086571715,19,1.5,48,0.4,1878,-8.3,0.0,0.0,0.0,Winter,No Holiday,Yes
212,09/12/2017,5.700443573390687,20,0.8,51,1.4,1848,-8.2,0.0,0.0,0.0,Winter,No Holiday,Yes
213,09/12/2017,5.7745515455444085,21,-0.1,55,0.7,1654,-8.0,0.0,0.0,0.0,Winter,No Holiday,Yes
214,09/12/2017,5.66988092298052,22,-0.5,55,0.6,1655,-8.4,0.0,0.0,0.0,Winter,No Holiday,Yes
215,09/12/2017,5.583496308781699,23,-0.1,54,1.3,1570,-8.3,0.0,0.0,0.0,Winter,No Holiday,Yes
216,10/12/2017,5.7899601708972535,0,-0.2,55,1.0,1629,-8.1,0.0,0.0,0.0,Winter,No Holiday,Yes
